source,target,used_capacity,total_capacity,utilization
0,1,100.0,100.0,1.0
2,9,100.0,100.0,1.0
6,7,100.0,100.0,1.0
9,16,100.0,100.0,1.0
10,13,100.0,100.0,1.0
11,13,99.0,100.0,0.99
5,7,99.0,100.0,0.99
22,24,99.0,100.0,0.99
15,16,99.0,100.0,0.99
15,21,99.0,100.0,0.99
10,14,98.0,100.0,0.98
11,12,98.0,100.0,0.98
19,20,98.0,100.0,0.98
2,16,97.0,100.0,0.97
12,13,97.0,100.0,0.97
5,9,97.0,100.0,0.97
3,9,95.0,100.0,0.95
22,23,94.0,100.0,0.94
5,14,94.0,100.0,0.94
17,22,90.0,100.0,0.9
4,5,89.0,100.0,0.89
17,18,87.0,100.0,0.87
3,6,82.0,100.0,0.82
9,13,82.0,100.0,0.82
4,7,79.0,100.0,0.79
5,13,151.0,200.0,0.755
1,6,72.0,100.0,0.72
0,2,142.0,200.0,0.71
8,9,70.0,100.0,0.7
0,7,69.0,100.0,0.69
12,24,137.0,200.0,0.685
21,22,64.0,100.0,0.64
2,3,59.0,100.0,0.59
17,19,56.0,100.0,0.56
0,6,55.0,100.0,0.55
3,8,54.0,100.0,0.54
2,20,159.0,300.0,0.53
18,21,50.0,100.0,0.5
17,20,95.0,200.0,0.475
10,11,45.0,100.0,0.45
2,6,89.0,200.0,0.445
5,8,43.0,100.0,0.43
13,22,82.0,200.0,0.41
23,24,38.0,100.0,0.38
13,17,114.0,300.0,0.38
9,22,105.0,300.0,0.35
2,21,94.0,300.0,0.31333333333333335
11,14,57.0,200.0,0.285
17,21,27.0,100.0,0.27
2,17,62.0,300.0,0.20666666666666667
2,15,39.0,200.0,0.195
8,13,15.0,100.0,0.15
13,15,28.0,200.0,0.14
15,17,8.0,200.0,0.04
16,17,7.0,300.0,0.023333333333333334
